Aria | Composer | Opera | Voice | Filename
Que ton âme se rassure | Donizetti, Gaetano | Elisabeth | Tenor | Que ton âme se rassure.pdf
Se di regnar desio | Donizetti, Gaetano | Fausta | Tenor | Se di regnar desio.pdf
Manca alcuno | Donizetti, Gaetano | Fausta | Baritone | Manca alcuno.pdf
Dea che siedi in terzo cielo | Donizetti, Gaetano | Fausta | Soprano | Dea che siedi in terzo cielo.pdf
Par che mi dica ancora | Donizetti, Gaetano | Fausta | Soprano | Par che mi dica ancora.pdf
Tu che voli, già spirto beato | Donizetti, Gaetano | Fausta | Soprano | Tu che voli, già spirto beato.pdf
Ah perchè dirmi crudel | Donizetti, Gaetano | Fausta | Tenor | Ah perchè dirmi crudel.pdf
Ah! nel cor mi suona un grido | Donizetti, Gaetano | Gemma di Vergy | Baritone | Ah! nel cor mi suona un grido.pdf
Ecco il pegno ch'io le porsi | Donizetti, Gaetano | Gemma di Vergy | Baritone | Ecco il pegno ch'io le porsi.pdf
Nella stanza, che romita | Donizetti, Gaetano | Gemma di Vergy | Bass | Nella stanza, che romita.pdf
Un fatal presentimento | Donizetti, Gaetano | Gemma di Vergy | Bass | Un fatal presentimento.pdf
Un'altare, ed una benda | Donizetti, Gaetano | Gemma di Vergy | Soprano | Un'altare, ed una benda.pdf
Una voce al cor d'intorno | Donizetti, Gaetano | Gemma di Vergy | Soprano | Una voce al cor d'intorno.pdf
Perche Gemma | Donizetti, Gaetano | Gemma di Vergy | Tenor | Perche Gemma.pdf
Fasti? Pompe? Omaggi? Onori? | Donizetti, Gaetano | Gianni di Calais | Tenor | Fasti Pompe Omaggi Onori.pdf
Di tua belta de immagine | Donizetti, Gaetano | I martiri | Baritone | Di tua belta de immagine.pdf
Di quai soa vi lagrime | Donizetti, Gaetano | I martiri | Soprano | Di quai soa vi lagrime.pdf
All' udir che il mio tesor | Donizetti, Gaetano | I pazzi per progetto | Check (Norina) | All' udir che il mio tesor.pdf
Piacer si nuovo e grato | Donizetti, Gaetano | I pazzi per progetto | Check (Norina) | Piacer si nuovo e grato.pdf
Va, e la nave in un baleno | Donizetti, Gaetano | Il borgomastro di Saardam | Baritone | Va, e la nave in un baleno.pdf
Fate largo al Borgomastro | Donizetti, Gaetano | Il borgomastro di Saardam | Bass | Fate largo al Borgomastro.pdf
Lungi da te mio ben | Donizetti, Gaetano | Il borgomastro di Saardam | Soprano | Lungi da te mio ben.pdf
Quanto grata è a voi | Donizetti, Gaetano | Il borgomastro di Saardam | Soprano | Quanto grata è a voi.pdf
Mesci, mesci e sperda il vento | Donizetti, Gaetano | Il campanello di notte | Baritone | Mesci, mesci e sperda il vento.pdf
Bella cosa, amici cara | Donizetti, Gaetano | Il campanello di notte | Bass | Bella cosa, amici cara.pdf
Lo stringi, e giunta appena | Donizetti, Gaetano | Il castello di Kenilworth | Baritone | Lo stringi, e giunta appena.pdf
Par che mi dica ancora | Donizetti, Gaetano | Il castello di Kenilworth | Soprano | Par che mi dica ancora.pdf
Tu potesti un sol istante | Donizetti, Gaetano | Il castello di Kenilworth | Check (Elisabetta) | Tu potesti un sol istante.pdf
Dio tremendo onnipossente | Donizetti, Gaetano | Il diluvio universale | Check (Noè) | Dio tremendo onnipossente.pdf
In quell' arca rispettate | Donizetti, Gaetano | Il diluvio universale | Check (Noè) | In quell' arca rispettate.pdf
Non mi tra dir, speranza | Donizetti, Gaetano | Il diluvio universale | Mezzo-soprano | Non mi tra dir, speranza.pdf
Perchè nell' alma inquesto loco | Donizetti, Gaetano | Il diluvio universale | Soprano | Perchè nell' alma inquesto loco.pdf
Senza colpa mi se acciaste | Donizetti, Gaetano | Il diluvio universale | Soprano | Senza colpa mi se acciaste.pdf
Addio conquistata mia terra | Donizetti, Gaetano | Il duca d'Alba | Baritone | Addio conquistata mia terra.pdf
Nei miei superbi gaudi | Donizetti, Gaetano | Il duca d'Alba | Baritone | Nei miei superbi gaudi.pdf
In seno ai mar | Donizetti, Gaetano | Il duca d'Alba | Soprano | In seno ai mar.pdf
Ombra paterna | Donizetti, Gaetano | Il duca d'Alba | Soprano | Ombra paterna.pdf
Angelo casto e bel | Donizetti, Gaetano | Il duca d'Alba | Tenor | Angelo casto e bel.pdf
Se pietoso d'un obblio copri | Donizetti, Gaetano | Il furioso nell'isola di San Domingo | Soprano | Se pietoso d'un obblio copri.pdf
Vedea languir quel misero | Donizetti, Gaetano | Il furioso nell'isola di San Domingo | Soprano | Vedea languir quel misero.pdf
Dalle piume in cui giacea | Donizetti, Gaetano | Il furioso nell'isola di San Domingo | Tenor | Dalle piume in cui giacea.pdf
Se ai voti di quest'alma... Affrettati vola momento beato | Donizetti, Gaetano | Il furioso nell'isola di San Domingo | Tenor | Se ai voti di quest'alma... Affrettati vola momento beato.pdf
Taci il voglio | Donizetti, Gaetano | Il giovedì grasso, ossia Il nuovo Pourceaugnac | Baritone | Taci il voglio.pdf
Mo che si scopierto a vamma | Donizetti, Gaetano | Il giovedì grasso, ossia Il nuovo Pourceaugnac | Bass | Mo che si scopierto a vamma.pdf
Or che l'annoda Imene | Donizetti, Gaetano | Il giovedì grasso, ossia Il nuovo Pourceaugnac | Soprano | Or che l'annoda Imene.pdf
Servi gente | Donizetti, Gaetano | Il giovedì grasso, ossia Il nuovo Pourceaugnac | Tenor | Servi gente.pdf
Qui pel figlio una madre gridava | Donizetti, Gaetano | Il paria | Baritone | Qui pel figlio una madre gridava.pdf
Il figlio è qui | Donizetti, Gaetano | Il paria | Check (Zarette) | Il figlio è qui.pdf
Pare a che mentre l'aloe | Donizetti, Gaetano | Il paria | Soprano | Pare a che mentre l'aloe.pdf
Là dove il ciel s'estelle | Donizetti, Gaetano | Il paria | Tenor | Là dove il ciel s'estelle.pdf
Sugli occhi tuoi, spietata | Donizetti, Gaetano | L'ajo nell'imbarazzo | Baritone | Sugli occhi tuoi, spietata.pdf
Figlia son d'un colonnello | Donizetti, Gaetano | L'ajo nell'imbarazzo | Soprano | Figlia son d'un colonnello.pdf
Quel tuo sorriso, o padre | Donizetti, Gaetano | L'ajo nell'imbarazzo | Soprano | Quel tuo sorriso, o padre.pdf
Nel primo fior degl'anni | Donizetti, Gaetano | L'ajo nell'imbarazzo | Baritone | Nel primo fior degl'anni.pdf
Ogni inciampo è alfin distrutto | Donizetti, Gaetano | L'assedio di Calais | Baritone | Ogni inciampo è alfin distrutto.pdf
Al mio cor oggetti amati | Donizetti, Gaetano | L'assedio di Calais | Mezzo-soprano | Al mio cor oggetti amati.pdf
Come Paride vezzoso | Donizetti, Gaetano | L'elisir d'amore | Check (Belcore) | Come Paride vezzoso.pdf
