Aria | Composer | Opera | PDF URL
Turbato il mar si vede con subita procella | Handel, George Frideric                  | Arianna in Creta     | http://theoperadatabase.com/PDFs/Handel/Soprano/Turbato%20il%20mar%20si%20vede%20con%20subita%20procella.pdf
Che se fiera poi mi nieghi     | Handel, George Frideric                  | Arianna in Creta     | http://theoperadatabase.com/PDFs/Handel/Soprano/Che%20se%20fiera%20poi%20mi%20nieghi.pdf
Del labbro tuo l'accenti       | Handel, George Frideric                  | Arianna in Creta     | http://theoperadatabase.com/PDFs/Handel/Soprano/Del%20labbro%20tuo%20l%20accenti.pdf
In mar tempestoso s'affanna il nocchiero | Handel, George Frideric                  | Arianna in Creta     | http://theoperadatabase.com/PDFs/Handel/Soprano/In%20mar%20tempestoso%20s%20affanna%20il%20nocchiero.pdf
Mirami, altero in vola, e vedi | Handel, George Frideric                  | Arianna in Creta     | http://theoperadatabase.com/PDFs/Handel/Soprano/Mirami,%20altero%20in%20vola,%20e%20vedi.pdf
Qual Leon, che fere irato, se sua parole | Handel, George Frideric                  | Arianna in Creta     | http://theoperadatabase.com/PDFs/Handel/Soprano/Qual%20Leon,%20che%20fere%20irato,%20se%20sua%20parole.pdf
Al sen ti stringo e parto, ma forma | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Bass/Al%20sen%20ti%20stringo.pdf
Invida sorte avara misero in questo dì | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Bass/Invida%20sorte%20avara%20misero%20in%20questo%20dì.pdf
Più contento e più felice regno al mondo | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Bass/Piu%20contento%20e%20piu%20felice%20regno%20al%20mondo.pdf
Voli colla sua tromba          | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Bass/Voli%20colla%20sua%20tromba.pdf
Fiaccherò quel fiero orgoglio  | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Bass/Fiacchero%20quel%20fiero%20orgoglio.pdf
Cieca notte, infidi sguardi, spoglie infauste | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Cieca%20notte,%20infidi%20sguardi,%20spoglie%20infauste.pdf
Con l'ali di costanza alza il suo volo | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Con%20l%20ali%20di%20costanza%20alza%20il%20suo%20volo.pdf
Dopo notte, atra e funesta, splende in Ciel | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Dopo%20notte,%20atra%20e%20funesta,%20splende%20in%20Ciel.pdf
Numi! lasciarmi vivere per darmi mille morti | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Numi%20lasciarmi%20vivere%20per%20darmi%20mille%20morti.pdf
Quì d'amor nel suo linguaggio  | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Qui%20d%20amor%20nel%20suo%20linguaggio.pdf
Scherza infida, in grembo al drudo | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Tenor/HandelAriodanteScherzainfida.pdf
Se tanto piace al cor il volto tuo, Signor | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Se%20tanto%20piace%20al%20cor%20il%20volto%20tuo,%20Signor.pdf
Tu preparati a morire, se mentire | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Tu%20preparati%20a%20morire,%20se%20mentire.pdf
Apri le lucì, e mira gli ascosi | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Apri%20le%20lucì,%20e%20mira%20gli%20ascosi.pdf
Il primo ardor è così caro     | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Il%20primo%20ardor%20e%20così%20caro.pdf
Neghittosi or voi che fate?    | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Neghittosi%20or%20voi%20che%20fate.pdf
Coperta la frode di lana servile | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Coperta%20la%20frode%20di%20lana%20servile.pdf
Dover, giustizia, amor m'accendono nel cor | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Dover,%20giustizia,%20amor%20m%20accendono%20nel%20cor.pdf
Se l'inganno sortisce felice, io detesto | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Se%20l%20inganno%20sortisce%20felice,%20io%20detesto.pdf
Spero per voi, sì, begli occhi, in questo dì | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Mezzo/Spero%20per%20voi.pdf
Il mio crudel martoro crescer non può di più | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Il%20mio%20crudel%20martoro%20crescer%20non%20puo%20di%20piu.pdf
Io ti bacio, o mano augusta    | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Io%20ti%20bacio,%20o%20mano%20augusta.pdf
Mi palpita il core nè intendo perchè | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Mi%20palpita%20il%20core%20ne%20intendo%20perche.pdf
Orrida a gl'occhi miei         | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Orrida%20a%20gl%20occhi%20miei.pdf
Sì, morrò; ma l'onor mio meco, oh Dio! | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Si,%20morro%20%20ma%20l%20onor%20mio%20meco,%20oh%20Dio.pdf
Vezzi, lusinghe, e brio        | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Vezzi,%20lusinghe,%20e%20brio.pdf
Volate, amori, di due bei cori | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Soprano/Volate,%20amori,%20di%20due%20bei%20cori.pdf
Del mio sol vezzosi rai        | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Tenor/Del%20mio%20sol%20vezzosi%20rai.pdf
Il tuo sangue, ed il tuo zelo, per la figlia | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Tenor/Il%20tuo%20sangue,%20ed%20il%20tuo%20zelo,%20per%20la%20figlia.pdf
Tu vivi, e punito rimange l'eccesso | Handel, George Frideric                  | Ariodante            | http://theoperadatabase.com/PDFs/Handel/Tenor/Tu%20vivi,%20e%20punito%20rimange%20l%20eccesso.pdf
Con quel sangue dipinta vedrai | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Bass/Con%20quel%20sangue%20dipinta%20vedrai.pdf
Non deve Roman petto dar all' amor ricetto | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Bass/Non%20deve%20Roman%20petto%20dar%20all%20amor%20ricetto.pdf
Al par dell mia sorte è forte questo cor | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Al%20par%20dell%20mia%20sorte%20e%20forte%20questo%20cor.pdf
Duri lacci! voi non siete      | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Duri%20lacci%20%20voi%20non%20siete.pdf
Fatto scorta al sentier della gloria | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Fatto%20scorta%20al%20sentier%20della%20gloria.pdf
Ritorno alle ritorte           | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Ritorno%20alle%20ritorte.pdf
Sì, cadrò, ma sorgerà sempre vivo | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Si,%20cadro,%20ma%20sorgera%20sempre%20vivo.pdf
Vado a morir vi lascio la pace | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Vado%20a%20morir%20vi%20lascio%20la%20pace.pdf
Niente spero, tutto credo, molto chiedo | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Niente%20spero,%20tutto%20credo,%20molto%20chiedo.pdf
Sento il cor per ogni lato circondato di spavento | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Sento%20il%20cor%20per%20ogni%20lato%20circondato%20di%20spavento.pdf
Voglio seguir lo sposo, barbari, dispietati | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Mezzo/Voglio%20seguir%20lo%20sposo,%20barbari,%20dispietati.pdf
Il sangue al cor favella amore | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Il%20sangue%20al%20cor%20favella%20amore.pdf
Impara a non temer dal mio costante amor | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Impara%20a%20non%20temer%20dal%20mio%20costante%20amor.pdf
Non son sempre vane larve      | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Non%20son%20sempre%20vane%20larve.pdf
Posso morir, ma vivere, e non amare, oh Dei! | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Posso%20morir,%20ma%20vivere,%20e%20non%20amare,%20oh%20Dei.pdf
Quella fiamma, ch'il petto m'accende | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Quella%20fiamma,%20ch%20il%20petto%20m%20accende.pdf
Al furor che ti consiglia ad Augusto | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Al%20furor%20che%20ti%20consiglia%20ad%20Augusto.pdf
È vil segno d'un debole amore  | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/E%20vil%20segno%20d%20un%20debole%20amore.pdf
Ho veleno e ferro avanti       | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Ho%20veleno%20e%20ferro%20avanti.pdf
Rendimi il dolce sposo due vite io ti dovrò | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Rendimi%20il%20dolce%20sposo%20due%20vite%20io%20ti%20dovro.pdf
Scaglian amore e sangue        | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Scaglian%20amore%20e%20sangue.pdf
Tra speme e timore mi palpita il core | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Tra%20speme%20e%20timore%20mi%20palpita%20il%20core.pdf
Và, combatti ancor da forte    | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Soprano/Va,%20combatti%20ancor%20da%20forte.pdf
Al lume di due rai più fiero io pugnerò | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Tenor/Al%20lume%20di%20due%20rai%20piu%20fiero%20io%20pugnero.pdf
Mira il Ciel, vedrai d'Alcide  | Handel, George Frideric                  | Arminio              | http://theoperadatabase.com/PDFs/Handel/Tenor/Mira%20il%20Ciel,%20vedrai%20d%20Alcide.pdf
Sol prova contenti di gloria l'amante | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Bass/Sol%20prova%20contenti%20di%20gloria%20l%20amante.pdf
Impara, ingrata, ad esser men crudele | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Bass/Impara,%20ingrata,%20ad%20esser%20men%20crudele.pdf
Ben' io sento l'ingrata, spietata | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Ben%20io%20sento%20l%20ingrata,%20spietata.pdf
Come alla tortorella langue al suo caro | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Come%20alla%20tortorella%20langue%20al%20suo%20caro.pdf
Soffri in pace il tuo dolore   | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Soffri%20in%20pace%20il%20tuo%20dolore.pdf
Al varco, oh pastori!          | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Al%20varco,%20oh%20pastori!.pdf
Bench' io non sappia ancor     | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Bench%20io%20non%20sappia%20ancor.pdf
Lassa! ch'io t'ho perduta      | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Lassa%20ch%20io%20t%20ho%20perduta.pdf
Riportai gloriosa palma        | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Riportai%20gloriosa%20palma.pdf
Se nasce un rivoletto          | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Se%20nasce%20un%20rivoletto.pdf
Care selve, ombre beate        | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Atalanta-Careselve.pdf
Lascia ch'io parta solo        | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Lascia%20ch%20io%20parta%20solo.pdf
M'allontano, sdegnose pupille  | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/M%20allontano,%20sdegnose%20pupille.pdf
Non sarà poco, se il mio gran foco | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Non%20sara%20poco,%20se%20il%20mio%20gran%20foco.pdf
Sì, sì, mel raccorderò         | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Si,%20si,%20mel%20raccordero.pdf
Tu solcasti il mare infido agitata navicella | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Soprano/Tu%20solcasti%20il%20mare%20infido%20agitata%20navicella.pdf
Dì ad Irene, tiranna, infedele | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Tenor/Atalanta-Diadirene.pdf
Diedi il core ad altra Ninfa   | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Tenor/Diedi%20il%20core%20ad%20altra%20Ninfa.pdf
S'è tuo piacer, ch'io mora     | Handel, George Frideric                  | Atalanta             | http://theoperadatabase.com/PDFs/Handel/Tenor/Se%20tuo%20piacer,%20ch%20io%20mora.pdf
Will God, whose mercies ever flow | Handel, George Frideric                  | Athalia              | http://theoperadatabase.com/PDFs/Handel/Soprano/Will%20God%20whose%20mercies%20ever%20flow.pdf
Gentle airs, melodious strains | Handel, George Frideric                  | Athalia              | http://theoperadatabase.com/PDFs/Handel/Tenor/Gentle%20airs%20melodious%20strains.pdf
Great God! Who yet but darkly known | Handel, George Frideric                  | Belshazzar           | http://theoperadatabase.com/PDFs/Handel/Contralto/Great%20God%20Who%20yet%20but%20darkly%20known.pdf
O sacred oracles of truth      | Handel, George Frideric                  | Belshazzar           | http://theoperadatabase.com/PDFs/Handel/Contralto/O%20sacred%20oracles%20of%20truth.pdf
Thus saith the Lord to Cyrus His anointed | Handel, George Frideric                  | Belshazzar           | http://theoperadatabase.com/PDFs/Handel/Contralto/Thus%20saith%20the%20Lord%20to%20Cyrus%20His%20anointed.pdf
Con gli strali d'amor cangia morte talor | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Bass/Con%20gli%20strali%20d%20amor%20cangia%20morte%20talor.pdf
Senza te sarebbe il mondo meno scaltro | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Bass/Senza%20te%20sarebbe%20il%20mondo%20meno%20scaltro.pdf
Sì, tra i ceppi, e le ritorte  | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Berenice%20-%20Si,%20tra%20i%20ceppi.pdf
Amore contro amor combatte nel mio cor | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Amore%20contro%20amor%20combatte%20nel%20mio%20cor.pdf
Senza nudrice alcuna, qual pargoletto in cuna | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Senza%20nudrice%20alcuna,%20qual%20pargoletto%20in%20cuna.pdf
Le vincende della sorte hanno sempre un novo aspetto | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Le%20vincende%20della%20sorte%20hanno%20sempre%20un%20novo%20aspetto.pdf
Nò, soffrir non può il mio amore | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/No,%20soffrir%20non%20puo%20il%20mio%20amore.pdf
Per si bella cagion m'è dolce la prigion | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Per%20si%20bella%20cagion%20m%20e%20dolce%20la%20prigion.pdf
Se non ho l'idol mio, scettro  | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Se%20non%20ho%20l%20idol%20mio,%20scettro.pdf
Sì, tra i ceppi, e le ritorte  | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Si,%20tra%20i%20ceppi,%20e%20le%20ritorte.pdf
Sù, Megera, Tisifone, Aletto!  | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Su,%20Megera,%20Tisifone,%20Aletto.pdf
Gelo, avvampo, considero, e sento con doppio tormento | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Gelo,%20avvampo,%20considero,%20e%20sento%20con%20doppio%20tormento.pdf
Questa qual sia beltà della sua libertà | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Questa%20qual%20sia%20belta%20della%20sua%20liberta.pdf
Si poco è forte dunque tua fede | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Si%20poco%20e%20forte%20dunque%20tua%20fede.pdf
Tortorella, che rimira presa al laccio la compagna | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Tortorella,%20che%20rimira%20presa%20al%20laccio%20la%20compagna.pdf
Che sarà quando amante accarezza | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Che%20sara%20quando%20amante%20accarezza.pdf
In quella, sola in quella candida mano e bella | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/In%20quella,%20sola%20in%20quella%20candida%20mano%20e%20bella.pdf
La bella mano, che mi piagò    | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/La%20bella%20mano,%20che%20mi%20piago.pdf
Mio bel sol, dove t'aggiri?    | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Mio%20bel%20sol,%20dove%20t%20aggiri.pdf
Quell' oggetto, ch'è caro a chi adoro | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Quell%20oggetto,%20che%20caro%20a%20chi%20adoro.pdf
Avvertite mie pupille, non tradite l'onor mio | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Avvertite%20mie%20pupille,%20non%20tradite%20l%20onor%20mio.pdf
Chi t'intende? o cieca instabile! | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Chi%20t%20intende%20o%20cieca%20instabile.pdf
Dice amor, quel bel vermiglio  | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Dice%20amor,%20quel%20bel%20vermiglio.pdf
Nò, che servire altrui, nò, quest'anima non sà | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/No,%20che%20servire%20altrui,%20no,%20quest%20anima%20non%20sa.pdf
Sempre dolci, ed amorosenon vi voglio | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Sempre%20dolci,%20ed%20amorosenon%20vi%20voglio.pdf
Traditore, traditore! così vago di sembiante | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Soprano/Traditore,%20traditore%20cosi%20vago%20di%20sembiante.pdf
Guerra e pace, Egizia terra, a te porto | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Tenor/Guerra%20e%20pace,%20Egizia%20terra,%20a%20te%20porto.pdf
Vedi l'ape ch'ingegnosa        | Handel, George Frideric                  | Berenice             | http://theoperadatabase.com/PDFs/Handel/Tenor/Vedi%20l%20ape%20ch%20ingegnosa.pdf
O come, let us worship         | Handel, George Frideric                  | Chandos Anthems      | http://theoperadatabase.com/PDFs/Handel/Tenor/O%20come%20let%20us%20worship.pdf
Tears such as tender fathers shed | Handel, George Frideric                  | Deborah              | http://theoperadatabase.com/PDFs/Handel/Baritone/Tears%20such%20as%20tender%20fathers%20shed.pdf
In the battle tame pursuing    | Handel, George Frideric                  | Deborah              | http://theoperadatabase.com/PDFs/Handel/Contralto/In%20the%20battle%20tame%20pursuing.pdf
Al tardar della vendetta o la scorda | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Bass/Al%20tardar%20della%20vendetta%20o%20la%20scorda.pdf
Degno più di tua beltà, questo cor ritornerà | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Bass/Degno%20piu%20di%20tua%20belta,%20questo%20cor%20ritornera.pdf
Presso ad occhi esperti già nei ministri | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Bass/Presso%20ad%20occhi%20esperti%20gia%20nei%20ministri.pdf
Nel riposo e nel contento godo e sento | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Bass/Deidamia-Nel%20riposo%20e%20nel%20contento.pdf
Nelle nubi intorno al Fato a' mortali | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Bass/Nelle%20nubi%20intorno%20al%20Fato%20a%20mortali.pdf
Come all' urto aggressor d'un torrente | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Come%20all%20urto%20aggressor%20d%20un%20torrente.pdf
Grecia tu offendi, Troja difendi | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Grecia%20tu%20offendi,%20Troja%20difendi.pdf
Nò, quella beltà non amo, che l'amor mio sprezzò | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Mezzo/No,%20quella%20belta%20non%20amo,%20che%20l%20amor%20mio%20sprezzo.pdf
Or pensate, amanti cori, che le gioje più soavi | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Or%20pensate,%20amanti%20cori,%20che%20le%20gioje%20piu%20soavi.pdf
Perdere il bene amato che il fato e amor ti diè | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Perdere%20il%20bene%20amato%20che%20il%20fato%20e%20amor%20ti%20die.pdf
Un guardo solo, pupille amate, conforto al duolo | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Mezzo/Un%20guardo%20solo,%20pupille%20amate,%20conforto%20al%20duolo.pdf
Ai Greci questa spada sovra i nemici estinti | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Ai%20Greci%20questa%20spada%20sovra%20i%20nemici%20estinti.pdf
Lasciami. Tu sei fedele? Vattene | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Lasciami%20Tu%20sei%20fedele%20Vattene.pdf
Se pensi amor tu solo per vezzo e per beltà | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Se%20pensi%20amor%20tu%20solo%20per%20vezzo%20e%20per%20belta.pdf
Seguir di selva in selva la fuggitiva belva | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Seguir%20di%20selva%20in%20selva%20la%20fuggitiva%20belva.pdf
Sì, m'appaga, sì, m'alletta quella vaga collinetta | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Si,%20m%20appaga,%20si,%20m%20alletta%20quella%20vaga%20collinetta.pdf
Consolami se brami, ch'io viva in te, mio ben | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Consolami%20se%20brami,%20ch%20io%20viva%20in%20te,%20mio%20ben.pdf
Due bell' alme inamorate, care, fide | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Due%20bell%20alme%20inamorate,%20care,%20fide.pdf
M'ai resa infelice, che vanto n'avrai? | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/M%20ai%20resa%20infelice,%20che%20vanto%20n%20avrai.pdf
Ma chi sà, se mi riama il mio bene | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Ma%20chi%20sa,%20se%20mi%20riama%20il%20mio%20bene.pdf
Nasconde l'usignol' in alti rami il nido | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Nasconde%20l%20usignol%20in%20alti%20rami%20il%20nido.pdf
Quando accenderan quel petto   | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Quando%20accenderan%20quel%20petto.pdf
Se il timore il ver mi dice infelice | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Se%20il%20timore%20il%20ver%20mi%20dice%20infelice.pdf
Và, perfido! quel cor mi tradirà | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Va,%20perfido%20quel%20cor%20mi%20tradira.pdf
D'amor nei primi istanti facili son gli amanti | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/D%20amor%20nei%20primi%20istanti%20facili%20son%20gli%20amanti.pdf
Di lusinghe, di dolcezza non fatica non asprezza | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Di%20lusinghe,%20di%20dolcezza%20non%20fatica%20non%20asprezza.pdf
Non ti credo, non mi fido, maggior prova al ver | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Non%20ti%20credo,%20non%20mi%20fido,%20maggior%20prova%20al%20ver.pdf
Non vuò perdere l'istante, senza creder all' amante | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Non%20vuo%20perdere%20l%20istante,%20senza%20creder%20all%20amante.pdf
Quanto ingannata è quella, mal consigliata bella | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Quanto%20ingannata%20e%20quella,%20mal%20consigliata%20bella.pdf
Sì, che desio quel che tu brami maggior legami | Handel, George Frideric                  | Deidamia             | http://theoperadatabase.com/PDFs/Handel/Soprano/Si,%20che%20desio%20quel%20che%20tu%20brami%20maggior%20legami.pdf
Turn not, O Queen, thy face away | Handel, George Frideric                  | Esther               | http://theoperadatabase.com/PDFs/Handel/Baritone/Turn%20not%20O%20Queen%20thy%20face%20away.pdf
